Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0144117,2015-11-25,2015-11-25,,The Boondock Saints,https://www.imdb.com/title/tt0144117/,movie,7.8,108,1999,"Action, Crime, Thriller",222842,1999-08-04,Troy Duffy
2,tt0110912,2015-11-25,2015-11-25,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1752940,1994-05-21,Quentin Tarantino
3,tt0293662,2015-11-25,2015-11-25,,The Transporter,https://www.imdb.com/title/tt0293662/,movie,6.8,92,2002,"Action, Crime, Thriller",278739,2002-10-02,"Corey Yuen, Louis Leterrier"
4,tt0402910,2015-11-25,2015-11-25,,Chaos,https://www.imdb.com/title/tt0402910/,movie,6.5,106,2005,"Action, Crime, Drama, Thriller",50277,2005-12-15,Tony Giglio
5,tt0266697,2015-11-25,2015-11-25,,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,movie,8.1,111,2003,"Action, Crime, Thriller",962449,2003-09-29,Quentin Tarantino
6,tt0465602,2015-11-25,2015-11-25,,Shoot 'Em Up,https://www.imdb.com/title/tt0465602/,movie,6.7,86,2007,"Action, Thriller",142251,2007-07-26,Michael Davis
7,tt0187078,2015-11-25,2015-11-25,,Gone in Sixty Seconds,https://www.imdb.com/title/tt0187078/,movie,6.5,118,2000,"Action, Crime, Thriller",254225,2000-06-05,Dominic Sena
8,tt0097202,2015-11-25,2015-11-25,,Dip huet seung hung,https://www.imdb.com/title/tt0097202/,movie,7.8,111,1989,"Action, Crime, Drama, Thriller",44499,1989-03-24,John Woo
9,tt0425112,2015-11-25,2015-11-25,,Hot Fuzz,https://www.imdb.com/title/tt0425112/,movie,7.8,121,2007,"Action, Comedy, Mystery, Thriller",447029,2007-02-13,Edgar Wright
10,tt0093409,2015-11-25,2015-11-25,,Lethal Weapon,https://www.imdb.com/title/tt0093409/,movie,7.6,109,1987,"Action, Crime, Thriller",229481,1987-03-06,Richard Donner
11,tt0092085,2015-11-25,2015-11-25,,Thrashin',https://www.imdb.com/title/tt0092085/,movie,6.7,93,1986,"Action, Drama, Romance",3412,1986-08-29,David Winters
12,tt0281364,2015-11-25,2015-11-25,,Wasabi,https://www.imdb.com/title/tt0281364/,movie,6.7,94,2001,"Action, Drama, Comedy, Crime, Thriller",36376,2001-10-31,Gérard Krawczyk
13,tt0152930,2015-11-25,2015-11-25,,Taxi,https://www.imdb.com/title/tt0152930/,movie,7.0,86,1998,"Action, Comedy, Crime",74564,1998-04-08,Gérard Pirès
14,tt0104714,2015-11-25,2015-11-25,,Lethal Weapon 3,https://www.imdb.com/title/tt0104714/,movie,6.7,118,1992,"Action, Crime, Thriller",152654,1992-05-11,Richard Donner
15,tt0122151,2015-11-25,2015-11-25,,Lethal Weapon 4,https://www.imdb.com/title/tt0122151/,movie,6.6,127,1998,"Action, Crime, Thriller",149363,1998-07-07,Richard Donner
16,tt0097733,2015-11-25,2015-11-25,,Lethal Weapon 2,https://www.imdb.com/title/tt0097733/,movie,7.2,114,1989,"Action, Crime, Thriller",156676,1989-07-05,Richard Donner
17,tt0086960,2015-11-25,2015-11-25,,Beverly Hills Cop,https://www.imdb.com/title/tt0086960/,movie,7.3,105,1984,"Action, Comedy, Crime, Thriller",156619,1984-12-01,Martin Brest
18,tt0092644,2015-11-25,2015-11-25,,Beverly Hills Cop II,https://www.imdb.com/title/tt0092644/,movie,6.5,100,1987,"Action, Comedy, Crime, Thriller",103301,1987-05-19,Tony Scott
19,tt0183869,2015-11-25,2015-11-25,,Taxi 2,https://www.imdb.com/title/tt0183869/,movie,6.5,88,2000,"Action, Comedy, Crime",49795,2000-03-25,Gérard Krawczyk
20,tt0083511,2015-11-25,2015-11-25,,48 Hrs.,https://www.imdb.com/title/tt0083511/,movie,6.9,96,1982,"Action, Comedy, Crime, Drama, Thriller",66423,1982-12-08,Walter Hill
21,tt0095016,2015-11-25,2015-11-25,,Die Hard,https://www.imdb.com/title/tt0095016/,movie,8.2,132,1988,"Action, Thriller",758206,1988-07-12,John McTiernan
22,tt0099423,2015-11-25,2015-11-25,,Die Hard 2,https://www.imdb.com/title/tt0099423/,movie,7.2,124,1990,"Action, Thriller",326115,1990-07-02,Renny Harlin
