Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0167260,2011-06-25,2011-06-25,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Adventure, Drama, Fantasy",1582277,2003-12-01,Peter Jackson
2,tt0120737,2011-06-25,2011-06-25,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Action, Adventure, Drama, Fantasy",1595469,2001-12-10,Peter Jackson
3,tt0167261,2011-06-25,2011-06-25,,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,movie,8.7,179,2002,"Adventure, Drama, Fantasy",1429353,2002-12-05,Peter Jackson
4,tt0112573,2011-06-25,2011-06-25,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.3,178,1995,"Biography, Drama, History, War",931059,1995-05-18,Mel Gibson
5,tt0172495,2011-06-25,2011-06-25,,Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1287157,2000-05-01,Ridley Scott
6,tt0416449,2011-06-25,2011-06-25,,300,https://www.imdb.com/title/tt0416449/,movie,7.6,117,2006,"Action, Drama",715927,2006-12-09,Zack Snyder
7,tt0047478,2011-06-25,2011-06-25,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",302163,1954-04-26,Akira Kurosawa
8,tt0089881,2011-06-25,2011-06-25,,Ran,https://www.imdb.com/title/tt0089881/,movie,8.2,162,1985,"Action, Drama, War",106032,1985-05-25,Akira Kurosawa
9,tt0425637,2011-06-25,2011-06-25,,Chi bi,https://www.imdb.com/title/tt0425637/,movie,7.4,146,2008,"Action, Adventure, Drama, History, War",42623,2008-06-30,John Woo
10,tt0120815,2011-08-22,2011-08-22,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1183717,1998-07-21,Steven Spielberg
