Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt4375438,2016-02-03,2016-02-03,,El Club,https://www.imdb.com/title/tt4375438/,movie,7.2,98,2015,"Comedy, Drama, Mystery",9059,2015-02-09,Pablo Larraín
2,tt0061891,2019-07-02,2019-07-02,,Largo Viaje,https://www.imdb.com/title/tt0061891/,movie,7.6,83,1967,Drama,178,2004-06-24,Patricio Kaulen
3,tt5639354,2018-02-23,2018-02-23,,Una Mujer Fantástica,https://www.imdb.com/title/tt5639354/,movie,7.2,104,2017,Drama,20857,2017-02-12,Sebastián Lelio
4,tt0179137,2014-06-16,2014-06-16,,Coronación,https://www.imdb.com/title/tt0179137/,movie,6.8,140,2000,Drama,444,2000-04-27,Silvio Caiozzi
5,tt0378284,2014-06-16,2014-06-16,,Machuca,https://www.imdb.com/title/tt0378284/,movie,7.7,116,2004,"Biography, Drama, History",10639,2004-02-24,Andrés Wood
6,tt1187044,2014-06-16,2014-06-16,,La Nana,https://www.imdb.com/title/tt1187044/,movie,7.3,95,2009,"Comedy, Drama",5531,2009-01-17,Sebastián Silva
7,tt2425486,2016-11-08,2016-11-08,,Gloria,https://www.imdb.com/title/tt2425486/,movie,6.8,110,2013,"Comedy, Drama, Romance",8108,2013-02-10,Sebastián Lelio
8,tt2014392,2014-06-16,2014-06-16,,Violeta se fue a los cielos,https://www.imdb.com/title/tt2014392/,movie,7.3,110,2011,"Biography, Drama, Music",2004,2011-08-11,Andrés Wood
9,tt0064147,2014-06-16,2014-06-16,,El Chacal de Nahueltoro,https://www.imdb.com/title/tt0064147/,movie,7.7,95,1969,"Biography, Crime, Drama",860,1969-06-30,Miguel Littin
10,tt0064120,2019-07-11,2019-07-11,,Caliche Sangriento,https://www.imdb.com/title/tt0064120/,movie,7.2,128,1969,"Drama, History, War",85,1969-10-27,Helvio Soto
11,tt0100075,2014-06-24,2014-06-24,,La Luna en el Espejo,https://www.imdb.com/title/tt0100075/,movie,6.6,75,1990,Drama,157,1990-09-09,Silvio Caiozzi
12,tt3460152,2015-08-05,2015-08-05,,Matar a un hombre,https://www.imdb.com/title/tt3460152/,movie,6.4,82,2014,"Crime, Drama, Thriller",1403,2014-01-17,Alejandro Fernández Almendras
13,tt0070501,2019-07-11,2019-07-11,,Palomita Blanca,https://www.imdb.com/title/tt0070501/,movie,6.8,125,1973,"Comedy, Romance",154,1992-10-17,Raoul Ruiz
14,tt0208088,2016-11-10,2016-11-10,,El Desquite,https://www.imdb.com/title/tt0208088/,movie,6.7,120,1999,Drama,124,1999-07-29,Andrés Wood
15,tt0221063,2014-06-16,2014-06-16,,El Chacotero Sentimental: La película,https://www.imdb.com/title/tt0221063/,movie,6.6,87,1999,"Comedy, Drama",870,1999-10-28,Cristián Galaz
