Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1051906,2020-02-27,2020-02-27,,The Invisible Man,https://www.imdb.com/title/tt1051906/,movie,7.2,124,2020,"Horror, Mystery, Sci-Fi, Thriller",92302,2020-02-24,Leigh Whannell
2,tt8244784,2020-03-14,2020-03-14,,The Hunt,https://www.imdb.com/title/tt8244784/,movie,6.4,90,2020,"Action, Horror, Thriller",31734,2020-03-11,Craig Zobel
3,tt8228288,2020-03-25,2020-03-25,,El hoyo,https://www.imdb.com/title/tt8228288/,movie,7.0,94,2019,"Horror, Sci-Fi, Thriller",116835,2019-09-06,Galder Gaztelu-Urrutia
4,tt9072352,2020-02-09,2020-02-09,,Relic,https://www.imdb.com/title/tt9072352/,movie,6.8,89,2020,"Drama, Horror",130,2020-01-25,Natalie Erika James
5,tt8772262,2019-07-03,2019-07-03,,Midsommar,https://www.imdb.com/title/tt8772262/,movie,7.1,148,2019,"Drama, Horror, Mystery, Thriller",150686,2019-06-24,Ari Aster
6,tt7984734,2019-09-11,2019-09-11,,The Lighthouse,https://www.imdb.com/title/tt7984734/,movie,7.6,109,2019,"Drama, Fantasy, Horror, Mystery",101018,2019-05-19,Robert Eggers
7,tt10767168,2020-02-09,2020-02-09,,La llorona,https://www.imdb.com/title/tt10767168/,movie,6.8,97,2019,"Drama, Horror, Thriller",357,2019-08-30,Jayro Bustamante
8,tt1560220,2019-10-19,2019-10-19,,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,movie,6.8,99,2019,"Action, Comedy, Horror",107704,2019-10-09,Ruben Fleischer
9,tt7349950,2019-09-04,2019-09-04,,It Chapter Two,https://www.imdb.com/title/tt7349950/,movie,6.6,169,2019,"Drama, Fantasy, Horror",175540,2019-08-26,Andy Muschietti
10,tt6857112,2019-03-09,2019-03-09,,Us,https://www.imdb.com/title/tt6857112/,movie,6.9,116,2019,"Horror, Mystery, Thriller",198033,2019-03-08,Jordan Peele
11,tt7347846,2020-01-31,2020-01-31,,The Lodge,https://www.imdb.com/title/tt7347846/,movie,6.1,108,2019,"Drama, Horror, Thriller",11562,2019-01-25,"Severin Fiala, Veronika Franz"
12,tt8364368,2019-07-14,2019-07-14,,Crawl,https://www.imdb.com/title/tt8364368/,movie,6.2,87,2019,"Drama, Horror, Thriller",52759,2019-07-10,Alexandre Aja
13,tt7798634,2019-08-23,2019-08-23,,Ready or Not,https://www.imdb.com/title/tt7798634/,movie,6.8,95,2019,"Comedy, Horror, Mystery, Thriller",77825,2019-03-12,"Matt Bettinelli-Olpin, Tyler Gillett"
14,tt7670212,2019-03-03,2019-03-03,,Der goldene Handschuh,https://www.imdb.com/title/tt7670212/,movie,6.7,115,2019,"Crime, Drama, Horror, Thriller",7092,2019-02-09,Fatih Akin
15,tt7784604,2018-06-08,2018-06-08,,Hereditary,https://www.imdb.com/title/tt7784604/,movie,7.3,127,2018,"Drama, Horror, Mystery, Thriller",207113,2018-01-21,Ari Aster
16,tt7543784,2019-11-20,2019-11-20,,Tous les dieux du ciel,https://www.imdb.com/title/tt7543784/,movie,6.0,110,2018,"Drama, Horror, Sci-Fi",351,2018-09-23,Quarxx
17,tt1502407,2018-09-21,2018-09-21,,Halloween,https://www.imdb.com/title/tt1502407/,movie,6.6,106,2018,"Horror, Thriller",108540,2018-09-08,David Gordon Green
18,tt8359848,2018-09-19,2018-09-19,,Climax,https://www.imdb.com/title/tt8359848/,movie,7.1,97,2018,"Drama, Horror, Music, Thriller",42945,2018-05-13,Gaspar Noé
